EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM,Label
20090120000439212,2009-01-20T00:04:39.216000Z,-83.865193,-78.143806,1.99,4.269,4.922,-83.865547,-78.14377,1.9854,0.0631,0.1597,0.2351,0.13,0.1382,0.0752,0.1106,3.243,2.755,3.243,1
20090120000442820,2009-01-20T00:04:42.844000Z,-84.01186,-78.168417,2,6.411,7.426,-84.012895,-78.168232,1.9995,0.184,0.1125,0.0712,0.0518,0.0729,0.0415,0.0539,4.176,3.484,4.176,1
20090120000454528,2009-01-20T00:04:54.560000Z,-83.911185,-78.156974,2.205,3.909,4.471,-83.899285,-78.161411,1.7233,0.8482,0.1084,0.089,0.3378,0.3632,0.2334,0.3059,3.106,2.645,3.106,0
20090120000456896,2009-01-20T00:04:56.936000Z,-83.805976,-78.164617,1.75,7.365,8.474,-83.808657,-78.164539,1.7088,0.2226,0.1075,0.0828,0.1359,0.5808,0.1312,0.218,4.548,3.829,4.548,1
20090120000458572,2009-01-20T00:04:58.592000Z,-84.001884,-78.176572,1.925,10.5,12.11,-84.003309,-78.176143,1.9253,0.0761,0.1022,0.2117,0.0314,0.0589,0.047,0.0443,5.183,4.347,5.183,1
20090120000459520,2009-01-20T00:04:59.488000Z,-83.937889,-78.185455,1.745,3.765,4.398,-83.892761,-78.14587,2.1144,0.0982,0.3756,0.159,0.5379,2.1383,0.3525,0.7401,3.326,2.783,3.326,0
20090120000500760,2009-01-20T00:05:00.780000Z,-83.865934,-78.190068,1.45,4.132,4.707,-83.881126,-78.160277,1.8116,0.2915,0.1099,0.0899,0.1675,1.4345,0.3045,0.4183,3.013,2.575,3.013,0
20090120000502908,2009-01-20T00:05:02.912000Z,-84.014648,-78.140336,1.995,6.164,7.25,-84.014604,-78.14039,2.0034,0.1889,0.106,0.0714,0.0443,0.07,0.0416,0.0505,3.705,3.059,3.705,1
20090120000503744,2009-01-20T00:05:03.780000Z,-83.980959,-78.184192,1.895,8.31,9.823,-83.981305,-78.184099,1.8815,0.2336,0.1031,0.0792,0.0301,0.068,0.0738,0.0533,4.734,3.906,4.734,1
20090120000505200,2009-01-20T00:05:05.212000Z,-83.959218,-78.16494,1.805,3.798,4.404,-83.960059,-78.164446,1.8286,0.2557,0.1033,0.079,0.0827,0.1206,0.0886,0.096,3.026,2.55,3.026,1
20090120000510712,2009-01-20T00:05:10.744000Z,-83.902897,-78.162169,1.82,6.735,7.615,-83.903827,-78.161749,1.8165,0.2373,0.0829,0.0809,0.058,0.0778,0.0894,0.0739,4.679,4.045,4.679,1
20090120000511508,2009-01-20T00:05:11.508000Z,-83.821604,-78.144872,1.86,3.667,4.215,-83.819892,-78.145152,1.8445,0.066,0.1129,0.2766,2.0647,2.351,0.5197,1.3613,3.046,2.596,3.046,0
