EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM
20090120000721008,2009-01-20T00:07:21.008000Z,-83.802696,-78.165332,1.945,6.78,7.963,-83.803145,-78.165614,1.8887,0.0858,0.1116,0.2603,0.0431,0.0657,0.1251,0.0707,4.386,3.645,4.386
20090120000732164,2009-01-20T00:07:32.192000Z,-84.023841,-78.16568,2.045,5.699,6.646,-84.024609,-78.165367,2.0505,0.144,0.2075,0.0651,0.0635,0.087,0.0423,0.0616,3.48,2.883,3.48
20090120000738876,2009-01-20T00:07:38.924000Z,-83.953696,-78.15061,1.96,17.87,21.12,-83.954607,-78.150788,1.9762,0.165,0.0724,0.0861,0.0245,0.0348,0.0372,0.0317,5.359,4.377,5.359
20090120000751668,2009-01-20T00:07:51.684000Z,-83.971571,-78.149934,1.955,6.478,7.508,-83.972142,-78.15004,1.9378,0.1688,0.098,0.0749,0.0461,0.0628,0.0372,0.0476,3.872,3.248,3.872
20090120000756508,2009-01-20T00:07:56.540000Z,-83.903115,-78.161542,1.8,9.118,10.65,-83.902712,-78.161875,1.7743,0.2525,0.0894,0.0979,0.0365,0.0572,0.0724,0.0533,4.814,4.017,4.814
20090120000802932,2009-01-20T00:08:02.936000Z,-84.018558,-78.139126,1.955,17.07,20.25,-84.017224,-78.139706,1.9563,0.1683,0.092,0.075,0.0249,0.0499,0.0382,0.0362,6.71,5.509,6.71
20090120000808584,2009-01-20T00:08:08.612000Z,-83.805757,-78.164662,1.755,9.149,10.71,-83.806717,-78.164798,1.7618,0.2535,0.0995,0.0853,0.0396,0.0516,0.0982,0.0586,5.703,4.759,5.703
20090120000812816,2009-01-20T00:08:12.832000Z,-83.980526,-78.184819,1.86,7.794,9.047,-83.979345,-78.184868,1.8468,0.3305,0.1108,0.0807,0.0466,0.101,0.1506,0.0892,4.929,4.138,4.929
20090120000824168,2009-01-20T00:08:24.204000Z,-83.798375,-78.160002,1.835,9.643,11.18,-83.798971,-78.159759,1.8101,0.2277,0.0847,0.0915,0.0459,0.0568,0.0704,0.0568,4.988,4.189,4.988
20090120000834360,2009-01-20T00:08:34.404000Z,-84.014267,-78.168954,2.03,7.165,8.15,-84.014181,-78.169242,1.9898,0.1681,0.0953,0.0645,0.0399,0.0707,0.0443,0.05,3.624,3.086,3.624
20090120000836824,2009-01-20T00:08:36.856000Z,-83.925646,-78.186307,1.84,7.783,8.889,-83.92712,-78.18588,1.8512,0.0909,0.1159,0.372,0.0496,0.092,0.1728,0.0924,4.949,4.214,4.949
20090120000842380,2009-01-20T00:08:42.404000Z,-83.763238,-78.160524,1.955,34.89,41.71,-83.762971,-78.160756,1.914,0.2018,0.0865,0.0695,0.0328,0.0425,0.0653,0.045,8.228,6.558,8.228
20090120000850424,2009-01-20T00:08:50.368000Z,-83.798543,-78.165913,1.905,6.147,7.093,-83.797225,-78.165831,1.9162,0.0745,0.1069,0.293,0.0916,0.1069,0.1804,0.1209,3.922,3.298,3.922
20090120000859524,2009-01-20T00:08:59.552000Z,-83.980088,-78.184685,1.845,8.058,9.117,-83.98041,-78.184429,1.8526,0.0678,0.102,0.2437,0.0322,0.0653,0.0868,0.0567,4.772,4.134,4.772
20090120000906388,2009-01-20T00:09:06.404000Z,-83.955004,-78.150431,1.995,16.94,19.74,-83.954487,-78.15083,1.967,0.1588,0.0725,0.0822,0.0245,0.0348,0.0371,0.0317,5.798,4.801,5.798
20090120000911496,2009-01-20T00:09:11.532000Z,-84.012516,-78.168596,1.99,5.584,6.404,-84.013527,-78.167841,2.0039,0.1264,0.2162,0.0696,0.0485,0.0912,0.0488,0.06,3.672,3.122,3.672
20090120000931180,2009-01-20T00:09:31.188000Z,-84.014427,-78.139978,1.915,6.988,8.076,-84.014402,-78.140642,1.9409,0.1705,0.093,0.0683,0.0468,0.0681,0.0441,0.052,4.589,3.869,4.589
20090120000941640,2009-01-20T00:09:41.664000Z,-83.980529,-78.185267,1.85,6.541,7.422,-83.98086,-78.185224,1.8388,0.0748,0.1129,0.3369,0.0546,0.0917,0.1419,0.0892,4.647,3.987,4.647
20090120000944776,2009-01-20T00:09:44.804000Z,-83.928047,-78.18456,1.81,7.162,8.214,-83.927424,-78.184443,1.8445,0.3959,0.0937,0.0833,0.0713,0.1379,0.2864,0.1413,5.107,4.327,5.107
20090120000955560,2009-01-20T00:09:55.588000Z,-83.803571,-78.165109,1.805,6.375,7.515,-83.8039,-78.165314,1.7722,0.008,0.029,0.0224,0.0922,0.1248,0.1409,0.1175,4.027,3.332,4.027
20090120001001404,2009-01-20T00:10:01.388000Z,-84.016822,-78.139843,1.985,11.16,13.25,-84.017136,-78.139848,1.9713,0.0686,0.0944,0.1748,0.0415,0.0609,0.0482,0.0496,5.257,4.3,5.257
20090120001004532,2009-01-20T00:10:04.544000Z,-84.02559,-78.165948,2.03,6.755,7.585,-84.027141,-78.165555,2.02,0.063,0.1444,0.1642,0.0562,0.0711,0.0419,0.0551,3.293,2.834,3.293
20090120001009608,2009-01-20T00:10:09.620000Z,-83.974843,-78.150202,1.95,6.221,7.157,-83.975145,-78.150044,1.9375,0.0777,0.1128,0.1819,0.0571,0.0674,0.0375,0.0525,3.287,2.774,3.287
20090120001045276,2009-01-20T00:10:45.312000Z,-83.800557,-78.159958,1.74,10.03,11.71,-83.80174,-78.159297,1.786,0.0723,0.1085,0.2064,0.0485,0.0607,0.0701,0.0591,4.936,4.116,4.936
20090120001050304,2009-01-20T00:10:50.328000Z,-83.953696,-78.15052,1.96,16.4,19.03,-83.954491,-78.150331,1.9622,0.176,0.0768,0.0863,0.0249,0.0429,0.0307,0.032,5.059,4.19,5.059
