EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM,GlobalCovarianceProduct,GlobalCovarianceGeometricMean
20090120012107760,2009-01-20T01:21:07.784000Z,-84.036064,-78.165451,2.025,5.887,6.632,-84.035646,-78.165311,2.0322,0.0589,0.1403,0.1592,0.0851,0.0866,0.0529,0.073,3.481,3.002,3.481,0.000389855014,0.07305238087032019
20090120115541292,2009-01-20T11:55:41.316000Z,-83.763233,-78.160927,1.845,42.83,49.87,-83.763792,-78.160594,1.9222,0.2356,0.0852,0.0733,0.0298,0.0488,0.081,0.049,8.947,7.313,8.947,0.00011779344,0.04902004455500087
20090120131759532,2009-01-20T13:17:59.556000Z,-84.002103,-78.176572,1.915,11.09,12.56,-84.003235,-78.176156,1.9213,0.0679,0.1372,0.1961,0.04,0.0592,0.048,0.0485,5.141,4.386,5.141,0.00011366400000000001,0.04844039157208885
20090120222235864,2009-01-20T22:22:35.876000Z,-84.021863,-78.164383,2.005,11.13,13.34,-84.022334,-78.164282,1.9949,0.0645,0.1229,0.1571,0.0414,0.0642,0.036,0.0457,4.294,3.452,4.294,9.568367999999998e-05,0.045738223252002705
20090120212451048,2009-01-20T21:24:51.060000Z,-83.904423,-78.159214,2.0,7.632,8.76,-83.902288,-78.160114,1.8914,0.404,0.0873,0.0812,0.0748,0.1136,0.1011,0.0951,4.69,3.963,4.69,0.0008590750080000001,0.09506274739209282
20090120051741304,2009-01-20T05:17:41.316000Z,-83.905514,-78.1589,2.03,6.447,7.41,-83.903268,-78.159774,1.9226,0.3635,0.0918,0.0807,0.0818,0.1296,0.106,0.104,4.386,3.702,4.386,0.00112373568,0.10396521519130361
20090120111428732,2009-01-20T11:14:28.732000Z,-84.005649,-78.157403,1.965,12.67,14.85,-84.00747,-78.157731,1.9405,0.0682,0.1335,0.1459,0.038,0.05,0.0279,0.0375,4.471,3.676,4.471,5.301e-05,0.037565219837515505
20090120223555720,2009-01-20T22:35:55.736000Z,-84.012516,-78.168507,2.0,10.27,11.68,-84.01534,-78.168709,1.9773,0.0639,0.1499,0.1879,0.0667,0.0633,0.0404,0.0554,4.379,3.706,4.379,0.00017057324399999998,0.05545877890396112
20090120010456908,2009-01-20T01:04:56.856000Z,-84.03366,-78.165183,2.085,5.139,5.908,-84.031715,-78.164887,2.0905,0.0094,0.0406,0.0235,0.077,0.081,0.0474,0.0666,3.323,2.796,3.323,0.0002956338,0.06661694236607418
20090120170339356,2009-01-20T17:03:39.376000Z,-84.012516,-78.168551,2.0,24.72,27.87,-84.013942,-78.168516,1.9796,0.0618,0.1042,0.1453,0.0,0.0239,0.0233,0.0,5.782,4.893,5.782,0.0,0.0
20090120082532952,2009-01-20T08:25:32.980000Z,-84.027697,-78.138226,1.925,7.224,8.376,-84.029027,-78.138415,1.8929,0.1858,0.1112,0.0699,0.0486,0.0493,0.0496,0.0491,4.229,3.752,4.229,0.00011884060799999999,0.04916487677610591
20090120051234196,2009-01-20T05:12:34.224000Z,-84.025522,-78.13854,1.905,5.794,6.584,-84.030962,-78.13841,1.901,0.1767,0.2351,0.0782,0.0999,0.0962,0.0683,0.0869,3.704,3.148,3.704,0.000656388954,0.08690679912177807
20090120090016860,2009-01-20T09:00:16.872000Z,-84.020785,-78.165727,2.04,9.068,10.68,-84.020627,-78.165288,2.0439,0.1806,0.1052,0.0696,0.0352,0.059,0.0367,0.0424,4.655,3.805,4.655,7.621856000000002e-05,0.04239880143758017
20090120031344384,2009-01-20T03:13:44.428000Z,-84.038528,-78.15197,2.055,5.737,6.631,-84.04206,-78.152141,2.0452,0.0678,0.2021,0.164,0.0964,0.0732,0.0366,0.0637,3.598,3.021,3.598,0.000258267168,0.06368293440767764
20090120021806028,2009-01-20T02:18:06.056000Z,-84.014209,-78.139978,1.92,6.351,7.435,-84.013257,-78.140809,1.9243,0.2113,0.116,0.0704,0.0537,0.0929,0.0562,0.0655,4.209,3.49,4.209,0.000280366626,0.06544986751115058
20090120044648536,2009-01-20T04:46:48.540000Z,-84.017036,-78.13944,1.935,17.51,20.93,-84.016131,-78.139495,1.9314,0.1772,0.0937,0.068,0.0354,0.0511,0.0499,0.0448,6.511,5.206,6.511,9.0266106e-05,0.044858171735517725
